abbrev, 1.1.1, ISC
argparse, 0.1.16, MIT
async, 0.1.22, MIT
coffee-script, 1.3.3, MIT
coffee-script, 1.4.0, MIT
colors, 0.6.2, MIT
dateformat, 1.0.2-1.2.3, unknown
esprima, 1.0.4, BSD
eventemitter2, 0.4.14, MIT
exit, 0.1.2, MIT
findup-sync, 0.1.3, MIT
getobject, 0.1.0, MIT
glob, 3.1.21, BSD
glob, 3.2.11, BSD
graceful-fs, 1.2.3, BSD
grunt, 0.4.5, MIT
grunt-bake, 0.3.18, MIT
grunt-cli, 0.1.13, MIT
grunt-contrib-coffee, 0.4.0, MIT
grunt-legacy-log, 0.1.3, MIT
grunt-legacy-log-utils, 0.1.1, MIT
grunt-legacy-util, 0.2.0, MIT
hooker, 0.2.3, MIT
iconv-lite, 0.2.11, MIT
inherits, 1.0.2, ISC
inherits, 2.0.3, ISC
js-yaml, 2.0.5, MIT
lodash, 0.9.2, MIT
lodash, 2.4.2, MIT
lru-cache, 2.7.3, ISC
mapillary_localization, 1.0.22, "MIT, ISC"
minimatch, 0.2.14, MIT
minimatch, 0.3.0, MIT
mout, 0.9.1, MIT
nopt, 1.0.10, MIT
resolve, 0.3.1, MIT
rimraf, 2.2.8, MIT
sigmund, 1.0.1, ISC
underscore, 1.7.0, MIT
which, 1.0.9, ISC
